gcp_id,height_offset_m,rpc_col,rpc_row,rpc_error_px,rpc_error_m,gt_used_for_rpc_projection
gf7_esri_0119,-20.0,8043.664948211399,9243.696397256028,8.826652737473536,5.704613017439876,False
gf7_esri_0120,-20.0,13109.986291742158,5905.752429821043,7.827136522553592,5.058565398977012,False
gf7_esri_0121,-20.0,7893.960692184812,13447.207303639687,5.020139461960555,3.2444969490080866,False
gf7_esri_0122,-20.0,9329.200207900154,11260.424883323853,8.77373359685373,5.670404713011233,False
gf7_esri_0123,-20.0,13062.814611596794,8932.019473769056,8.612741773896685,5.56630533374233,False
gf7_esri_0124,-20.0,8474.813318703624,13448.137504090733,8.866776003017222,5.730560262926862,False
gf7_esri_0126,-20.0,11514.406898597106,11008.008866520258,6.519763804110037,4.213652908907103,False
gf7_esri_0127,-20.0,7605.064930741981,13157.94298522151,6.127052779299504,3.959876361699386,False
gf7_esri_0129,-20.0,10969.51716907472,11064.486806740832,8.701569832241796,5.623743621926069,False
gf7_esri_0130,-20.0,9335.020034613208,14850.165662496245,6.627296222762907,4.283168208771537,False
gf7_esri_0131,-20.0,7151.687524313975,6795.187427245712,8.37350812101698,5.411753019824767,False
gf7_esri_0132,-20.0,15681.780004911638,7069.0157753240055,8.90354091634268,5.7542180573715145,False
gf7_esri_0133,-20.0,8491.262461975792,13811.222101998319,7.252253341780762,4.687103419766551,False
gf7_esri_0134,-20.0,8694.170130048818,9864.254997721826,8.015796770515117,5.180540946947689,False
gf7_esri_0135,-20.0,9339.846900305929,6216.589244136179,8.767486539220506,5.666352963458366,False
gf7_esri_0137,-20.0,8783.219977564115,10420.231145524205,9.590374493323544,6.198189450240491,False
gf7_esri_0139,-20.0,9183.500842468882,14692.483407200629,7.224068961416969,4.668867026881689,False
gf7_esri_0141,-20.0,12783.83645225319,9515.574976390777,8.624696209434118,5.574046697810595,False
gf7_esri_0142,-20.0,9255.832319944177,13783.650467105394,8.774276004397999,5.670753294551774,False
gf7_esri_0146,-20.0,8830.189687362834,9054.940925898598,7.239408139098181,4.678775618723743,False
gf7_esri_0148,-20.0,8889.389930518459,13269.712742504267,9.184522095174046,5.935905904862533,False
gf7_esri_0149,-20.0,8448.406381792567,9725.991193131455,9.604087379214944,6.2070552795600245,False
gf7_esri_0150,-20.0,15095.945439385847,8491.012820897464,8.52729048309641,5.511057993685203,False
gf7_esri_0151,-20.0,8894.424211876094,14252.564164748135,12.162667238288998,7.860635188804179,False
gf7_esri_0153,-20.0,14765.805173460816,5782.537315061969,8.539790502388366,5.51912968143383,False
gf7_esri_0154,-20.0,8967.527253719549,14431.38594154217,7.232853935034611,4.674555851264285,False
gf7_esri_0157,-20.0,8455.885960851678,13323.208710235474,7.253528180313599,4.687925309532225,False
gf7_esri_0159,-20.0,10055.425531619996,9543.749241977299,7.186511190755392,4.644573212514937,False
gf7_esri_0160,-20.0,9651.871798605705,13907.35839137986,7.97424408177724,5.153700644204915,False
gf7_esri_0161,-20.0,5375.945845154614,7157.716609621504,8.448985854286988,5.460555078070421,False
gf7_esri_0162,-20.0,13570.567094363041,10685.91107304617,10.186285053840178,6.583285738593692,False
gf7_esri_0163,-20.0,8947.510999317845,14701.422577085856,9.662779480490784,6.245011088614846,False
