method,method_label_cn,split,bias_model,requested_gcp_count,used_gcp_count,icp_count,selection,rmse_x_px,rmse_y_px,rmse_2d_px,median_error_px,p90_error_px,p95_error_px,rmse_2d_m,median_error_m,ce90_m,p95_error_m
compact_64B_orientation_l1,64 B 方向空间码 / L1,1,translation,5,5,24,spatial_farthest_with_margin_tiebreak,2.8868796587509795,3.4973179249557473,4.534898767594151,3.919017076511267,5.852919380790322,6.588227640698303,2.93086895031734,2.5328391030156987,3.78267206294825,4.257938823436448
compact_64B_orientation_l1,64 B 方向空间码 / L1,1,translation,10,10,24,spatial_farthest_with_margin_tiebreak,3.015907289042049,4.27844684690454,5.234577747811599,4.7214050730268475,6.685801229321176,7.3482513260005415,3.3830674535859404,3.051417521369773,4.32095367857541,4.74913815623848
compact_64B_orientation_l1,64 B 方向空间码 / L1,1,affine,5,5,24,spatial_farthest_with_margin_tiebreak,3.9471925583121195,4.6167530368835985,6.074103859498,5.644504500407502,8.817205528616796,8.909152856535437,3.9256360992215873,3.648022680106087,5.698442792905639,5.757871904981458
compact_64B_orientation_l1,64 B 方向空间码 / L1,1,affine,10,10,24,spatial_farthest_with_margin_tiebreak,2.7375255458000223,9.320473670962304,9.714179098874451,7.498160915249006,13.896250543299704,14.581146004256697,6.27822146631174,4.846026179140389,8.98094950018723,9.423573388394672
compact_64B_orientation_l1,64 B 方向空间码 / L1,1,affine,20,20,24,spatial_farthest_with_margin_tiebreak,2.6732952731931277,10.62496184587515,10.956108882444505,8.468088918854324,15.605761752039214,16.045207503343423,7.080881891635764,5.47288363652319,10.085851144004796,10.369774115255597
compact_64B_orientation_l1,64 B 方向空间码 / L1,2,translation,5,5,24,spatial_farthest_with_margin_tiebreak,2.3745718384944645,3.4545065560332757,4.191921631167246,3.628479039824003,5.335197977268676,5.358936985227032,2.709209126306637,2.3450371906745797,3.4480890216771853,3.463447848046512
compact_64B_orientation_l1,64 B 方向空间码 / L1,2,translation,10,10,24,spatial_farthest_with_margin_tiebreak,1.9320590040937162,2.760287071728167,3.3692783668983575,2.5313297340667607,4.291743216522138,4.4432624776073055,2.1775401089048194,1.635972380353913,2.773729476700315,2.8716369165844684
compact_64B_orientation_l1,64 B 方向空间码 / L1,2,affine,5,5,24,spatial_farthest_with_margin_tiebreak,2.5476003041986877,5.470962786792299,6.035039446798953,3.7698361124035102,10.172061600909883,10.877059923425167,3.9004058843352793,2.4364269300122245,6.574186793162596,7.029928087402914
compact_64B_orientation_l1,64 B 方向空间码 / L1,2,affine,10,10,24,spatial_farthest_with_margin_tiebreak,2.0732507637335855,5.65702772531568,6.024975635993243,3.95790484632335,10.25080032342782,10.847508857742918,3.8939020806419147,2.5579748533969004,6.625075780607444,7.010828911683333
compact_64B_orientation_l1,64 B 方向空间码 / L1,2,affine,20,20,24,spatial_farthest_with_margin_tiebreak,2.1929559022291456,5.454502667844686,5.878831086419003,3.8988996512431786,9.933423893222137,10.71773052870242,3.799450756547806,2.519839889086099,6.419957316909008,6.92695223253837
