method,method_label_cn,candidate_pool_size,target_year,attempted_gcps,true_candidate_available_count,candidate_coverage_rate_2px,candidate_coverage_rate_5px,candidate_coverage_rate_10px,gcp_reuse_at_1,gcp_reuse_at_5,gcp_reuse_at_10,conditional_reuse_at_1,conditional_reuse_at_5,mean_rank,median_rank,mrr,conditional_mrr,median_margin,p10_margin,p50_margin,p90_margin,reuse_failure_rate,catastrophic_wrong_match_rate,bytes_per_gcp_mean,bytes_per_gcp_median,compression_ratio_mean,median_normalized_margin,p10_normalized_margin,p90_normalized_margin
raw_ncc,原始灰度 NCC,5000,2026,196,79,0.25,0.4030612244897959,0.5612244897959183,0.3979591836734694,0.4030612244897959,0.4030612244897959,0.9873417721518988,1.0,1.0126582278481011,1.0,0.4005102040816326,0.9936708860759492,0.2975485920906067,0.0580654144287109,0.2975485920906067,0.5633576393127442,0.6020408163265306,0.0051020408163265,65536.0,65536.0,1.0,0.8900862071873795,0.07495467169231244,2.3095173985250903
webp_q30_ncc,WebP Q30 + NCC,100,2026,196,15,0.0612244897959183,0.0765306122448979,0.0765306122448979,0.0765306122448979,0.0765306122448979,0.0765306122448979,1.0,1.0,1.0,1.0,0.0765306122448979,1.0,0.4105263352394104,0.2241288900375366,0.4105263352394104,0.5923993706703186,0.923469387755102,0.0,11586.561224489797,13042.0,6.734204906033798,1.4628318803712326,0.6578898432664023,2.545116393532838
webp_q30_ncc,WebP Q30 + NCC,500,2026,196,27,0.1071428571428571,0.1377551020408163,0.1479591836734693,0.1377551020408163,0.1377551020408163,0.1377551020408163,1.0,1.0,1.0,1.0,0.1377551020408163,1.0,0.3765368461608886,0.110906970500946,0.3765368461608886,0.5482231378555299,0.8622448979591837,0.0,11586.561224489797,13042.0,6.734204906033798,1.2712662040952922,0.2877413021884324,2.3222899848955008
webp_q30_ncc,WebP Q30 + NCC,1000,2026,196,34,0.1224489795918367,0.173469387755102,0.2244897959183673,0.173469387755102,0.173469387755102,0.173469387755102,1.0,1.0,1.0,1.0,0.173469387755102,1.0,0.3676078021526336,0.1066896975040435,0.3676078021526336,0.5476816654205322,0.826530612244898,0.0,11586.561224489797,13042.0,6.734204906033798,1.2264352289049267,0.21176377025246465,2.309073341742321
webp_q30_ncc,WebP Q30 + NCC,5000,2026,196,79,0.25,0.4030612244897959,0.5612244897959183,0.3979591836734694,0.4030612244897959,0.4030612244897959,0.9873417721518988,1.0,1.0126582278481011,1.0,0.4005102040816326,0.9936708860759492,0.2976507544517517,0.0576213121414184,0.2976507544517517,0.5567250490188599,0.6020408163265306,0.0051020408163265,11586.561224489797,13042.0,6.734204906033798,0.8897103518602356,0.07448789918585387,2.2329509398148106
jpeg2000_100_ncc,JPEG2000 100 + NCC,100,2026,196,15,0.0612244897959183,0.0765306122448979,0.0765306122448979,0.0765306122448979,0.0765306122448979,0.0765306122448979,1.0,1.0,1.0,1.0,0.0765306122448979,1.0,0.4060631990432739,0.2267666459083557,0.4060631990432739,0.5739561557769776,0.923469387755102,0.0,6447.59693877551,6489.5,10.1675100039986,1.4660423285853408,0.6534949802698349,2.3928517726721665
jpeg2000_100_ncc,JPEG2000 100 + NCC,500,2026,196,27,0.1071428571428571,0.1377551020408163,0.1479591836734693,0.1377551020408163,0.1377551020408163,0.1377551020408163,1.0,1.0,1.0,1.0,0.1377551020408163,1.0,0.3699921369552612,0.1116596579551696,0.3699921369552612,0.523110318183899,0.8622448979591837,0.0,6447.59693877551,6489.5,10.1675100039986,1.242600303783929,0.2864513947902333,2.1057127762626147
jpeg2000_100_ncc,JPEG2000 100 + NCC,1000,2026,196,34,0.1224489795918367,0.173469387755102,0.2244897959183673,0.173469387755102,0.173469387755102,0.173469387755102,1.0,1.0,1.0,1.0,0.173469387755102,1.0,0.3628174960613251,0.1062245905399322,0.3628174960613251,0.5301330387592316,0.826530612244898,0.0,6447.59693877551,6489.5,10.1675100039986,1.2164186202113334,0.21388135973981903,2.0864495693351923
jpeg2000_100_ncc,JPEG2000 100 + NCC,5000,2026,196,79,0.25,0.4030612244897959,0.5612244897959183,0.3979591836734694,0.4030612244897959,0.4030612244897959,0.9873417721518988,1.0,1.0126582278481011,1.0,0.4005102040816326,0.9936708860759492,0.3120667338371277,0.0613278150558471,0.3120667338371277,0.5407405376434327,0.6020408163265306,0.0051020408163265,6447.59693877551,6489.5,10.1675100039986,0.9478001791499724,0.080156583635587,2.0129332195781555
compact_32B_rank_hamming,32 B Rank/Hamming,100,2026,196,15,0.0612244897959183,0.0765306122448979,0.0765306122448979,0.0612244897959183,0.0765306122448979,0.0765306122448979,0.8,1.0,1.2666666666666666,1.0,0.0680272108843537,0.8888888888888888,0.07421875,-0.0046874999999999,0.07421875,0.15,0.9387755102040816,0.0153061224489795,32.0,32.0,2048.0,0.24358974358894414,-0.014999999999951998,0.6410714285689426
compact_32B_rank_hamming,32 B Rank/Hamming,500,2026,196,27,0.1071428571428571,0.1377551020408163,0.1479591836734693,0.1173469387755102,0.1326530612244898,0.1326530612244898,0.8518518518518519,0.9629629629629628,2.740740740740741,1.0,0.1242656153370439,0.9020763187429854,0.05859375,-0.0031249999999999,0.05859375,0.140625,0.8826530612244898,0.0204081632653061,32.0,32.0,2048.0,0.1744186046506436,-0.009999999999968,0.6813333333300782
compact_32B_rank_hamming,32 B Rank/Hamming,1000,2026,196,34,0.1224489795918367,0.173469387755102,0.2244897959183673,0.1377551020408163,0.1581632653061224,0.1581632653061224,0.7941176470588235,0.9117647058823528,10.823529411764708,1.0,0.1472707389450814,0.8489724950951754,0.05078125,-0.0132812499999999,0.05078125,0.125,0.8622448979591837,0.0357142857142857,32.0,32.0,2048.0,0.16279069767393403,-0.04544303797452602,0.588701923072746
compact_32B_rank_hamming,32 B Rank/Hamming,5000,2026,196,79,0.25,0.4030612244897959,0.5612244897959183,0.2959183673469387,0.3316326530612244,0.3469387755102041,0.7341772151898734,0.8227848101265823,74.75949367088607,1.0,0.311400046569848,0.7725874573125343,0.04296875,-0.0468749999999999,0.04296875,0.13671875,0.7040816326530612,0.1071428571428571,32.0,32.0,2048.0,0.20689655172322471,-0.1396551724134849,0.5647540983583742
compact_64B_orientation_l1,64 B 方向/L1,100,2026,196,15,0.0612244897959183,0.0765306122448979,0.0765306122448979,0.0765306122448979,0.0765306122448979,0.0765306122448979,1.0,1.0,1.0,1.0,0.0765306122448979,1.0,0.1328124850988388,0.0989583134651184,0.1328124850988388,0.1752604216337204,0.923469387755102,0.0,64.0,64.0,1024.0,0.5930232024282369,0.3578460244300954,1.2417173549248504
compact_64B_orientation_l1,64 B 方向/L1,500,2026,196,27,0.1071428571428571,0.1377551020408163,0.1479591836734693,0.1377551020408163,0.1377551020408163,0.1377551020408163,1.0,1.0,1.0,1.0,0.1377551020408163,1.0,0.1210937201976776,0.0609375029802322,0.1210937201976776,0.1640625059604644,0.8622448979591837,0.0,64.0,64.0,1024.0,0.6917295173925759,0.2844398166915633,1.2688741385062565
compact_64B_orientation_l1,64 B 方向/L1,1000,2026,196,34,0.1224489795918367,0.173469387755102,0.2244897959183673,0.173469387755102,0.173469387755102,0.173469387755102,1.0,1.0,1.0,1.0,0.173469387755102,1.0,0.1132812574505806,0.0519531354308128,0.1132812574505806,0.1667968899011612,0.826530612244898,0.0,64.0,64.0,1024.0,0.6877764200717781,0.2561269950347096,1.333974949513171
compact_64B_orientation_l1,64 B 方向/L1,5000,2026,196,79,0.25,0.4030612244897959,0.5612244897959183,0.3979591836734694,0.4030612244897959,0.4030612244897959,0.9873417721518988,1.0,1.0253164556962024,1.0,0.3996598639455782,0.9915611814345991,0.0859374701976776,0.0286458253860473,0.0859374701976776,0.1447916716337204,0.6020408163265306,0.0051020408163265,64.0,64.0,1024.0,0.4871794871762893,0.152809081914145,1.0900956189750317
compact_128B_dct_sign_hamming,128 B DCT 符号/Hamming,100,2026,196,15,0.0612244897959183,0.0765306122448979,0.0765306122448979,0.0765306122448979,0.0765306122448979,0.0765306122448979,1.0,1.0,1.0,1.0,0.0765306122448979,1.0,0.1886608004570007,0.1614858329296112,0.1886608004570007,0.2572825044393539,0.923469387755102,0.0,128.0,128.0,512.0,0.7886793247283639,0.5419073928057031,1.2510295178962265
compact_128B_dct_sign_hamming,128 B DCT 符号/Hamming,500,2026,196,27,0.1071428571428571,0.1377551020408163,0.1479591836734693,0.1377551020408163,0.1377551020408163,0.1377551020408163,1.0,1.0,1.0,1.0,0.1377551020408163,1.0,0.1886608004570007,0.0995112538337707,0.1886608004570007,0.2647116273641586,0.8622448979591837,0.0,128.0,128.0,512.0,0.7453875705240781,0.34569639983170236,1.3686468158856724
compact_128B_dct_sign_hamming,128 B DCT 符号/Hamming,1000,2026,196,34,0.1224489795918367,0.173469387755102,0.2244897959183673,0.173469387755102,0.173469387755102,0.173469387755102,1.0,1.0,1.0,1.0,0.173469387755102,1.0,0.1886608004570007,0.088172048330307,0.1886608004570007,0.2632453486323357,0.826530612244898,0.0,128.0,128.0,512.0,0.734534063460422,0.27303703215590586,1.3921742248244753
